signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(0, 3, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",12,39,11,0.9166666666666666,2,False,"{39: 11, 0: 1}"
"(0, 0, 3, 0, 0, 1, 3, 1, 3, 3, 0, 2, 2, 0, 0, 0, 0, 3)",12,23,11,0.9166666666666666,2,False,"{23: 11, 49: 1}"
"(0, 1, 0, 3, 1, 2, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0)",12,21,9,0.75,3,False,"{21: 9, 45: 2, 7: 1}"
"(0, 0, 2, 3, 0, 3, 2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 2, 1)",12,44,9,0.75,2,False,"{44: 9, 1: 3}"
"(1, 2, 1, 0, 1, 0, 1, 3, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",12,18,8,0.6666666666666666,4,False,"{18: 8, 27: 2, 48: 1, 20: 1}"
"(0, 0, 0, 3, 1, 2, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0)",12,21,7,0.5833333333333334,4,False,"{21: 7, 32: 3, 45: 1, 22: 1}"
"(2, 0, 1, 3, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2, 3, 2, 0)",12,40,6,0.5,2,False,"{40: 6, 14: 6}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2)",12,6,6,0.5,4,False,"{6: 6, 39: 3, 48: 2, 20: 1}"
"(0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2)",12,41,5,0.4166666666666667,5,False,"{41: 5, 22: 4, 48: 1, 39: 1, 13: 1}"
"(2, 1, 1, 3, 2, 3, 1, 3, 1, 1, 0, 1, 1, 1, 2, 3, 1, 0)",11,14,11,1.0,1,True,{14: 11}
"(0, 1, 0, 2, 1, 0, 0, 2, 0, 1, 1, 1, 1, 3, 0, 0, 2, 0)",11,28,11,1.0,1,True,{28: 11}
"(0, 0, 2, 3, 0, 3, 2, 2, 2, 1, 1, 0, 0, 0, 2, 1, 2, 1)",11,44,11,1.0,1,True,{44: 11}
"(2, 0, 1, 3, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 0, 3, 0)",11,38,11,1.0,1,True,{38: 11}
"(0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 1, 3, 0, 0, 2, 0)",11,28,11,1.0,1,True,{28: 11}
"(1, 1, 0, 3, 1, 3, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 2, 1)",11,42,11,1.0,1,True,{42: 11}
"(2, 0, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0)",11,14,11,1.0,1,True,{14: 11}
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 1, 1, 0, 2, 2, 1, 1)",11,37,11,1.0,1,True,{37: 11}
"(2, 1, 0, 2, 2, 2, 0, 3, 0, 0, 1, 0, 1, 0, 2, 2, 1, 1)",11,12,11,1.0,1,True,{12: 11}
"(0, 1, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 3)",11,49,10,0.9090909090909091,2,False,"{49: 10, 17: 1}"
"(0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 2, 1)",11,19,10,0.9090909090909091,2,False,"{19: 10, 24: 1}"
"(1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0)",11,25,10,0.9090909090909091,2,False,"{25: 10, 33: 1}"
"(0, 0, 0, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0)",11,31,9,0.8181818181818182,2,False,"{31: 9, 45: 2}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0)",11,0,8,0.7272727272727273,2,False,"{0: 8, 39: 3}"
